"ip";"port";"protocol";"cpe";"cve";"type";"exploit";"cvss";"url"
"91.236.136.166";"25";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:CVE-2023-51766";"cgr";"False";"5.0";"http://vulners.com/cgr/CHAINGUARD:CVE-2023-51766"
"91.236.136.166";"25";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:GHSA-W6WW-869J-CGM6";"cgr";"False";"0.0";"http://vulners.com/cgr/CHAINGUARD:GHSA-W6WW-869J-CGM6"
"91.236.136.166";"465";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:CVE-2023-51766";"cgr";"False";"5.0";"http://vulners.com/cgr/CHAINGUARD:CVE-2023-51766"
"91.236.136.166";"465";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:GHSA-W6WW-869J-CGM6";"cgr";"False";"0.0";"http://vulners.com/cgr/CHAINGUARD:GHSA-W6WW-869J-CGM6"
"91.236.136.166";"587";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:CVE-2023-51766";"cgr";"False";"5.0";"http://vulners.com/cgr/CHAINGUARD:CVE-2023-51766"
"91.236.136.166";"587";"tcp";"a:exim:exim:4.97.1";"CHAINGUARD:GHSA-W6WW-869J-CGM6";"cgr";"False";"0.0";"http://vulners.com/cgr/CHAINGUARD:GHSA-W6WW-869J-CGM6"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21256";"prion";"False";"6.8";"http://vulners.com/prion/PRION:CVE-2022-21256"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21253";"prion";"False";"6.8";"http://vulners.com/prion/PRION:CVE-2022-21253"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2021-35638";"prion";"False";"6.8";"http://vulners.com/prion/PRION:CVE-2021-35638"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2021-35637";"prion";"False";"6.8";"http://vulners.com/prion/PRION:CVE-2021-35637"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21368";"prion";"False";"6.5";"http://vulners.com/prion/PRION:CVE-2022-21368"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21254";"prion";"False";"6.3";"http://vulners.com/prion/PRION:CVE-2022-21254"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21600";"prion";"False";"5.8";"http://vulners.com/prion/PRION:CVE-2022-21600"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21479";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21479"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21478";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21478"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21425";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21425"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21378";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21378"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21367";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21367"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21351";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21351"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21301";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21301"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21278";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21278"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21265";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2022-21265"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2021-35612";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2021-35612"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2021-35610";"prion";"False";"5.5";"http://vulners.com/prion/PRION:CVE-2021-35610"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21352";"prion";"False";"4.9";"http://vulners.com/prion/PRION:CVE-2022-21352"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2021-35602";"prion";"False";"4.9";"http://vulners.com/prion/PRION:CVE-2021-35602"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20969";"prion";"False";"4.7";"http://vulners.com/prion/PRION:CVE-2024-20969"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20967";"prion";"False";"4.7";"http://vulners.com/prion/PRION:CVE-2024-20967"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2023-21880";"prion";"False";"4.7";"http://vulners.com/prion/PRION:CVE-2023-21880"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2023-21877";"prion";"False";"4.7";"http://vulners.com/prion/PRION:CVE-2023-21877"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21635";"prion";"False";"4.7";"http://vulners.com/prion/PRION:CVE-2022-21635"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2023-21980";"prion";"False";"4.6";"http://vulners.com/prion/PRION:CVE-2023-21980"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21318";"prion";"False";"4.6";"http://vulners.com/prion/PRION:CVE-2022-21318"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-21316";"prion";"False";"4.6";"http://vulners.com/prion/PRION:CVE-2022-21316"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20985";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2024-20985"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20977";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2024-20977"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20973";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2024-20973"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20963";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2024-20963"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2024-20961";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2024-20961"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2023-22079";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2023-22079"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2023-22059";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2023-22059"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-39410";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2022-39410"
"91.236.136.166";"3306";"tcp";"a:mysql:mysql:8.0.26";"PRION:CVE-2022-39408";"prion";"False";"4.0";"http://vulners.com/prion/PRION:CVE-2022-39408"
